iter	Passed	Remaining
0	62	75305
1	68	41282
2	74	29883
3	81	24481
4	87	20988
5	93	18617
6	100	17130
7	108	16217
8	115	15243
9	121	14408
10	126	13662
11	131	13019
12	137	12589
13	143	12151
14	148	11746
15	156	11588
16	163	11344
17	169	11134
18	174	10855
19	180	10646
20	185	10393
21	191	10239
22	197	10120
23	204	10035
24	210	9897
25	216	9753
26	223	9717
27	229	9590
28	235	9521
29	242	9438
30	247	9329
31	255	9316
32	262	9282
33	267	9184
34	273	9095
35	278	9006
36	283	8898
37	289	8862
38	296	8812
39	302	8778
40	308	8714
41	313	8646
42	318	8570
43	323	8496
44	329	8460
45	337	8465
46	346	8492
47	351	8425
48	357	8400
49	362	8348
50	368	8308
51	374	8261
52	379	8206
53	385	8173
54	390	8133
55	396	8102
56	403	8099
57	409	8057
58	414	8009
59	420	7984
60	425	7936
61	431	7911
62	436	7882
63	443	7879
64	447	7812
65	453	7794
66	461	7798
67	466	7771
68	471	7735
69	478	7720
70	483	7680
71	487	7639
72	494	7640
73	502	7641
74	510	7663
75	515	7621
76	519	7577
77	525	7565
78	531	7544
79	539	7547
80	543	7509
81	546	7453
82	552	7438
83	556	7395
84	562	7382
85	570	7387
86	576	7369
87	583	7367
88	589	7356
89	596	7352
90	604	7364
91	613	7385
92	620	7382
93	628	7395
94	633	7372
95	639	7352
96	649	7380
97	657	7391
98	663	7373
99	669	7369
100	676	7362
101	684	7367
102	691	7366
103	694	7321
104	699	7292
105	704	7268
106	709	7248
107	715	7238
108	719	7202
109	726	7196
110	732	7188
111	737	7166
112	742	7147
113	748	7131
114	757	7146
115	765	7154
116	772	7153
117	777	7126
118	781	7098
119	786	7078
120	792	7068
121	798	7056
122	806	7061
123	811	7040
124	817	7026
125	823	7019
126	831	7021
127	835	6999
128	843	6999
129	850	7003
130	855	6982
131	860	6959
132	868	6966
133	873	6949
134	876	6918
135	882	6900
136	888	6896
137	894	6886
138	903	6894
139	909	6885
140	916	6882
141	921	6865
142	927	6856
143	934	6853
144	939	6835
145	944	6817
146	951	6812
147	958	6811
148	964	6802
149	969	6784
150	973	6763
151	979	6755
152	984	6739
153	991	6736
154	997	6725
155	1003	6712
156	1007	6691
157	1013	6683
158	1018	6670
159	1023	6652
160	1029	6646
161	1034	6629
162	1038	6607
163	1046	6608
164	1051	6595
